NAME,DRIVE_DISTANCE,FWY_%,SG_P,SG_OTT,SG_APR,SG_ARG,GIR_Fairway_%,GIR_NotFairway_%,Sand_Save_Pct,avoid_three_putt
Ryan Armour,276.0,73.69,0.105,-0.063,-0.036,0.154,77.4,45.45,55.0,3.42
Si Woo Kim,292.4,61.62,0.096,0.052,-0.369,0.418,75.09,50.68,59.57,2.21
Phil Mickelson,307.0,50.86,-0.154,-0.1,-0.007,0.129,79.82,53.16,51.81,2.66
Keith Mitchell,304.0,60.21,-0.126,0.726,-0.044,-0.12,80.55,54.17,50.82,3.86
Nick Watney,300.1,60.18,-0.101,0.038,0.111,0.069,81.21,54.07,48.82,2.97
Kiradech Aphibarnrat,292.8,63.43,0.51,0.048,-0.514,0.166,70.95,45.7,52.08,2.67
Sam Ryder,294.4,63.51,0.399,0.051,0.344,-0.252,78.55,50.63,62.5,2.6
J.J. Spaun,290.8,64.06,-0.011,-0.027,0.227,-0.004,79.59,53.93,47.06,2.92
Martin Kaymer,291.6,60.88,-0.014,-0.165,0.439,0.107,72.91,44.35,61.43,2.65
Adam Schenk,299.7,60.62,0.338,0.016,0.231,-0.266,79.12,52.22,47.93,2.58
Brian Stuard,275.5,70.87,0.218,-0.245,0.281,0.269,72.72,46.25,54.76,2.57
Mackenzie Hughes,297.3,57.13,-0.073,-0.104,-0.017,0.098,75.43,52.79,44.04,2.86
Corey Conners,296.2,66.59,-0.702,0.681,0.704,-0.113,81.38,60.87,50.88,3.3
Cameron Smith,294.0,58.81,0.2,-0.309,0.2,0.243,74.9,50.0,58.49,2.5
Trey Mullinax,309.3,51.2,-0.391,0.404,0.231,-0.261,83.33,55.01,46.08,3.3
Luke List,314.2,53.9,-0.238,0.593,0.018,0.021,76.63,56.9,46.61,3.64
Kevin Na,290.9,63.6,0.108,-0.227,0.137,0.328,77.11,47.17,56.84,2.67
Danny Willett,293.8,59.72,-0.128,-0.048,0.416,0.182,76.89,58.39,52.63,3.81
Ryan Moore,281.4,74.02,0.171,0.06,0.517,0.046,74.57,53.78,42.57,2.87
Carlos Ortiz,300.4,61.83,0.053,0.255,-0.074,-0.048,77.01,57.29,47.62,2.47
Pat Perez,286.0,64.64,0.505,-0.508,0.05,0.297,74.8,46.44,50.0,3.29
Cameron Champ,317.1,54.28,0.134,0.699,-0.3,-0.631,81.15,57.91,34.78,4.77
Dominic Bozzelli,295.0,59.39,0.68,-0.355,-0.646,-0.052,80.0,46.57,55.1,1.69
Shawn Stefani,293.7,60.99,-0.098,-0.406,0.341,0.038,76.29,56.61,52.17,3.56
Harris English,299.9,61.05,0.555,-0.064,-0.517,0.156,74.54,57.21,51.43,1.74
SebastiÃ¡n MuÃ±oz,297.3,59.46,-0.139,-0.047,-0.025,0.328,79.66,52.76,47.75,2.26
Jimmy Walker,299.3,55.16,-0.074,-0.179,0.058,0.36,78.33,50.57,61.94,3.1
Patrick Rodgers,299.3,55.95,0.421,0.131,-0.045,0.078,72.59,54.07,47.06,2.27
Brian Gay,274.5,70.96,0.47,-0.238,-0.378,0.09,71.62,48.81,48.91,2.21
Russell Henley,286.9,69.52,-0.426,0.125,0.207,-0.033,75.4,48.37,41.49,3.64
Roger Sloan,295.6,60.72,0.009,-0.104,0.046,-0.088,77.01,50.25,56.35,3.16
Kramer Hickok,289.2,69.2,-0.656,0.301,-0.219,0.261,76.09,51.01,44.23,3.22
Kyoung-Hoon Lee,286.6,66.51,-0.092,0.22,0.01,-0.088,80.0,49.86,52.67,3.92
Chase Wright,297.8,62.98,0.487,-0.021,-0.213,-0.261,76.12,53.02,48.91,2.73
Cameron Davis,307.6,56.63,-0.436,0.154,0.157,-0.058,75.32,60.33,47.56,3.61
Sepp Straka,302.7,61.71,-0.019,0.294,0.368,-0.268,79.12,55.66,38.46,3.93
Adam Svensson,287.9,63.9,-0.617,0.107,0.443,0.316,77.36,55.05,47.13,4.29
Stephan Jaeger,293.5,58.88,-0.189,-0.273,-0.168,0.439,73.97,51.74,54.95,2.65
Charley Hoffman,295.6,58.08,-0.126,0.28,0.423,-0.19,78.76,50.29,38.18,2.78
Richy Werenski,291.0,61.76,-0.008,0.048,-0.215,-0.165,74.84,51.19,44.83,2.27
Brian Harman,287.4,66.89,0.106,0.265,-0.357,0.159,72.33,48.41,59.52,2.07
Josh Teater,290.0,62.68,-0.137,-0.08,0.347,-0.182,76.35,58.54,33.73,2.63
Brice Garnett,286.2,70.95,-0.068,0.196,-0.248,-0.189,76.77,54.67,44.35,1.96
Jonathan Byrd,281.4,59.16,-0.238,-0.615,-0.035,0.266,71.68,55.13,43.55,3.12
Roberto DÃ­az,285.8,67.52,0.068,0.107,-0.348,-0.002,74.33,50.59,50.0,3.17
Adam Long,292.5,65.32,-0.291,0.109,0.112,-0.115,75.18,52.92,49.49,3.24
Alex Prugh,303.0,63.93,-0.452,0.465,0.103,-0.184,80.65,60.26,46.51,3.14
Bronson Burgoon,293.5,65.89,-0.268,-0.004,-0.079,-0.016,78.98,49.15,50.55,3.29
Hudson Swafford,295.2,57.66,-0.031,-0.047,0.119,-0.239,76.47,53.71,54.64,1.66
Roberto Castro,282.7,65.99,-0.305,-0.374,0.402,0.049,77.68,46.13,45.98,3.43
Beau Hossler,297.2,59.41,0.656,0.003,-0.676,-0.111,77.33,52.47,51.08,2.59
Austin Cook,287.6,69.16,-0.223,0.108,-0.151,-0.294,75.0,46.19,50.0,2.99
Ryan Blaum,287.9,62.85,0.195,-0.071,-0.287,-0.067,75.28,47.45,50.79,2.62
Ben Silverman,285.9,67.62,0.021,0.116,-0.309,-0.183,75.09,49.45,60.2,3.15
Bill Haas,289.5,61.21,-0.124,-0.028,-0.288,0.263,73.87,48.7,51.58,2.34
Kyle Stanley,288.7,68.33,-0.423,0.002,0.275,-0.112,78.75,46.99,49.09,2.96
JuliÃ¡n Etulain,291.6,54.85,0.014,-0.3,-0.307,0.15,74.94,49.72,46.43,2.83
Jason Dufner,288.9,66.89,-0.57,0.158,0.14,0.131,77.42,58.78,51.56,4.34
Patton Kizzire,294.5,61.15,0.475,-0.446,-0.186,-0.063,72.21,51.81,50.44,1.85
Scott Langley,270.6,68.62,0.324,-0.641,-0.509,0.182,69.62,44.98,52.34,1.68
Alex Noren,301.2,61.46,-0.376,0.065,-0.388,0.265,74.09,50.58,42.86,2.89
Wes Roach,291.5,65.36,0.004,0.041,-0.268,0.171,74.46,51.01,40.0,2.29
Jim Knous,296.5,55.21,-0.249,0.041,0.111,-0.275,77.7,59.52,41.46,3.56
Robert Streb,289.2,60.95,-0.176,-0.165,0.039,0.078,76.51,53.33,47.79,2.44
Sam Saunders,298.1,56.69,-0.095,-0.056,0.001,-0.251,77.19,47.19,48.65,2.65
